geometry	hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
POINT	TACGRP.MOBSU.OBST.BBY	G	*	M	*	OB----	BOOBY TRAP	
	TACGRP.MOBSU.OBST.MNE	G	*	M	*	OM----	MINES	N/A
POINT	TACGRP.MOBSU.OBST.MNE.USPMNE	G	*	M	*	OMU---	UNSPECIFIED MINE	
POINT	TACGRP.MOBSU.OBST.MNE.ATMNE	G	*	M	*	OMT---	ANTITANK MINE (AT)	
POINT	TACGRP.MOBSU.OBST.MNE.ATMAHD	G	*	M	*	OMD---	ANTITANK MINE WITH ANTIHANDLING DEVICE	
POINT	TACGRP.MOBSU.OBST.MNE.ATMDIR	G	*	M	*	OME---	ANTITANK MINE (DIRECTIONAL)	
POINT	TACGRP.MOBSU.OBST.MNE.APMNE	G	*	M	*	OMP---	ANTIPERSONNEL (AP) MINES	
POINT	TACGRP.MOBSU.OBST.MNE.WAMNE	G	*	M	*	OMW---	WIDE AREA MINES	
	TACGRP.MOBSU.OBST.MNE.MCLST	G	*	M	*	OMC---	MINE CLUSTER	
	TACGRP.MOBSU.OBST.MNEFLD	G	*	M	*	OF----	MINEFIELDS	N/A
POINT	TACGRP.MOBSU.OBST.MNEFLD.STC	G	*	M	*	OFS---	STATIC DEPICTION	
	TACGRP.MOBSU.OBST.MNEFLD.DYN	G	*	M	*	OFD---	DYNAMIC DEPICTION	
	TACGRP.MOBSU.OBST.MNEFLD.GAP	G	*	M	*	OFG---	GAP	
	TACGRP.MOBSU.OBST.MNEFLD.MNDARA	G	*	M	*	OFA---	MINED AREA	
	TACGRP.MOBSU.OBST.OBSEFT	G	*	M	*	OE----	OBSTACLE EFFECT	N/A
	TACGRP.MOBSU.OBST.OBSEFT.BLK	G	*	M	*	OEB---	BLOCK	
	TACGRP.MOBSU.OBST.OBSEFT.FIX	G	*	M	*	OEF---	FIX	
	TACGRP.MOBSU.OBST.OBSEFT.TUR	G	*	M	*	OET---	TURN	
	TACGRP.MOBSU.OBST.OBSEFT.DRT	G	*	M	*	OED---	DISRUPT	
	TACGRP.MOBSU.OBST.UXO	G	*	M	*	OU----	UNEXPLODED ORDNANCE AREA (UXO)	
	TACGRP.MOBSU.OBST.RCBB	G	*	M	*	OR----	ROADBLOCKS, CRATERS, AND BLOWN BRIDGES	N/A
	TACGRP.MOBSU.OBST.RCBB.PLND	G	*	M	*	ORP---	PLANNED	
	TACGRP.MOBSU.OBST.RCBB.SAFE	G	*	M	*	ORS---	EXPLOSIVES, STATE OF READINESS 1 (SAFE)	
