geometry	hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
POINT	TACGRP.C2GM.GNL.PNT.SCTL.RDV	G	*	G	*	GPCR--	RENDEZVOUS CONTROL POINT	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.RSC	G	*	G	*	GPCC--	RESCUE CONTROL POINT	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.REP	G	*	G	*	GPCE--	REPLENISHMENT CONTROL POINT	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.NCBTT	G	*	G	*	GPCN--	NONCOMBATANT CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.UCTL	G	*	G	*	GPB---	SUBSURFACE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.UCTL.UUV	G	*	G	*	GPBU--	UNMANNED UNDERWATER VEHICLE (UUV) CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.UCTL.UUV.ASW	G	*	G	*	GPBUA-	UUV - ANTISUBMARINE WARFARE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.UCTL.UUV.SUW	G	*	G	*	GPBUS-	UUV - SURFACE WARFARE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.UCTL.UUV.MIW	G	*	G	*	GPBUM-	UUV - MINE WARFARE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.UCTL.SBSTN	G	*	G	*	GPBS--	SUBMARINE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.UCTL.SBSTN.ASW	G	*	G	*	GPBSA-	ASW SUBMARINE CONTROL STATION	
	TACGRP.C2GM.GNL.LNE	G	*	G	*	GL----	LINES	N/A
LINE	TACGRP.C2GM.GNL.LNE.BNDS	G	*	G	*	GLB---	BOUNDARIES	
LINE	TACGRP.C2GM.GNL.LNE.FLOT	G	*	G	*	GLF---	FORWARD LINE OF OWN TROOPS (FLOT)	
LINE	TACGRP.C2GM.GNL.LNE.LOC	G	*	G	*	GLC---	LINE OF CONTACT	
LINE	TACGRP.C2GM.GNL.LNE.PHELNE	G	*	G	*	GLP---	PHASE LINE	
LINE	TACGRP.C2GM.GNL.LNE.LITLNE	G	*	G	*	GLL---	LIGHT LINE	
	TACGRP.C2GM.GNL.ARS	G	*	G	*	GA----	AREAS	N/A
POLYGON	TACGRP.C2GM.GNL.ARS.GENARA	G	*	G	*	GAG---	GENERAL AREA	
POLYGON	TACGRP.C2GM.GNL.ARS.ABYARA	G	*	G	*	GAA---	ASSEMBLY AREA	
POLYGON	TACGRP.C2GM.GNL.ARS.EMTARA	G	*	G	*	GAE---	ENGAGEMENT AREA	
POLYGON	TACGRP.C2GM.GNL.ARS.FTFDAR	G	*	G	*	GAF---	FORTIFIED AREA	
POLYGON	TACGRP.C2GM.GNL.ARS.DRPZ	G	*	G	*	GAD---	DROP ZONE	
POLYGON	TACGRP.C2GM.GNL.ARS.EZ	G	*	G	*	GAX---	EXTRACTION ZONE (EZ)	
POLYGON	TACGRP.C2GM.GNL.ARS.LZ	G	*	G	*	GAL---	LANDING ZONE (LZ)	
POLYGON	TACGRP.C2GM.GNL.ARS.PZ	G	*	G	*	GAP---	PICKUP ZONE (PZ)	
MULTIPOINT	TACGRP.C2GM.GNL.ARS.SRHARA	G	*	G	*	GAS---	SEARCH AREA/RECONNAISSANCE AREA	
POLYGON	TACGRP.C2GM.GNL.ARS.LAARA	G	*	G	*	GAY---	LIMITED ACCESS AREA	
POLYGON	TACGRP.C2GM.GNL.ARS.AIRFZ	G	*	G	*	GAZ---	AIRFIELD ZONE	
	TACGRP.C2GM.AVN	G	*	G	*	A-----	AVIATION	N/A
	TACGRP.C2GM.AVN.PNT	G	*	G	*	AP----	POINTS	N/A
POINT	TACGRP.C2GM.AVN.PNT.ACP	G	*	G	*	APP---	AIR CONTROL POINT (ACP)	
POINT	TACGRP.C2GM.AVN.PNT.COMMCP	G	*	G	*	APC---	COMMUNICATIONS CHECKPOINT (CCP)	
POINT	TACGRP.C2GM.AVN.PNT.PUP	G	*	G	*	APU---	PULL-UP POINT (PUP)	
POINT	TACGRP.C2GM.AVN.PNT.DAPP	G	*	G	*	APD---	DOWNED AIRCREW PICKUP POINT	
LINE	TACGRP.C2GM.AVN.LNE	G	*	G	*	AL----	LINES	N/A
LINE	TACGRP.C2GM.AVN.LNE.ACDR	G	*	G	*	ALC---	AIR CORRIDOR	
LINE	TACGRP.C2GM.AVN.LNE.MRR	G	*	G	*	ALM---	MINIMUM RISK ROUTE (MRR)	
LINE	TACGRP.C2GM.AVN.LNE.SAAFR	G	*	G	*	ALS---	STANDARD-USE ARMY AIRCRAFT FLIGHT ROUTE (SAAFR)	
LINE	TACGRP.C2GM.AVN.LNE.UAR	G	*	G	*	ALU---	UNMANNED AIRCRAFT (UA) ROUTE	
LINE	TACGRP.C2GM.AVN.LNE.LLTR	G	*	G	*	ALL---	LOW LEVEL TRANSIT ROUTE (LLTR)	
	TACGRP.C2GM.AVN.ARS	G	*	G	*	AA----	AREAS	N/A
POLYGON	TACGRP.C2GM.AVN.ARS.ROZ	G	*	G	*	AAR---	RESTRICTED OPERATIONS ZONE (ROZ)	
POLYGON	TACGRP.C2GM.AVN.ARS.SHRDEZ	G	*	G	*	AAF---	SHORT-RANGE AIR DEFENSE ENGAGEMENT ZONE (SHORADEZ)	
POLYGON	TACGRP.C2GM.AVN.ARS.HIDACZ	G	*	G	*	AAH---	HIGH DENSITY AIRSPACE CONTROL ZONE (HIDACZ)	
POLYGON	TACGRP.C2GM.AVN.ARS.MEZ	G	*	G	*	AAM---	MISSILE ENGAGEMENT ZONE (MEZ)	
POLYGON	TACGRP.C2GM.AVN.ARS.MEZ.LAMEZ	G	*	G	*	AAML--	LOW ALTITUDE MEZ	
POLYGON	TACGRP.C2GM.AVN.ARS.MEZ.HAMEZ	G	*	G	*	AAMH--	HIGH ALTITUDE MEZ	
POLYGON	TACGRP.C2GM.AVN.ARS.WFZ	G	*	G	*	AAW---	WEAPONS FREE ZONE	
	TACGRP.C2GM.DCPN	G	*	G	*	P-----	DECEPTION	N/A
LINE	TACGRP.C2GM.DCPN.DMY	G	*	G	*	PD----	DUMMY (DECEPTION/DECOY)	
LINE	TACGRP.C2GM.DCPN.AAFF	G	*	G	*	PA----	AXIS OF ADVANCE FOR FEINT	
LINE	TACGRP.C2GM.DCPN.DAFF	G	*	G	*	PF----	DIRECTION OF ATTACK FOR FEINT	
POLYGON	TACGRP.C2GM.DCPN.DMA	G	*	G	*	PM----	DECOY MINED AREA	
POLYGON	TACGRP.C2GM.DCPN.DMAF	G	*	G	*	PY----	DECOY MINED AREA, FENCED	
POINT	TACGRP.C2GM.DCPN.DMYMS	G	*	G	*	PN----	DUMMY MINEFIELD (STATIC)	
POLYGON	ACGRP.C2GM.DCPN.DMYMD	G	*	G	*	PC----	DUMMY MINEFIELD (DYNAMIC)	
	TACGRP.C2GM.DEF	G	*	G	*	D-----	DEFENSE	N/A
