hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
EMS.NATEVT.INFST.MICROB 	E	*	N	*	CC----	MICROBIAL INFESTATION	
EMS.NATEVT.INFST.REPT 	E	*	N	*	CD----	REPTILE INFESTATION	
EMS.NATEVT.INFST.RDNT 	E	*	N	*	CE----	RODENT INFESTATION	
EMS.OPN 	E	-	O	-	------	OPERATIONS	N/A
EMS.OPN.EMMED 	E	*	O	*	A-----	EMERGENCY MEDICAL OPERATION	
EMS.OPN.EMMED.UNT 	E	*	O	*	AA----	EMERGENCY MEDICAL OPERATION UNIT	
EMS.OPN.EMMED.EQPT 	E	*	O	*	AB----	EMERGENCY MEDICAL OPERATION EQUIPMENT	
EMS.OPN.EMMED.INS 	E	*	O	*	AC----	EMERGENCY MEDICAL OPERATION INSTALLATION	
EMS.OPN.EMMED.EMTLOC 	E	*	O	*	AD----	EMT STATION LOCATION	
EMS.OPN.EMMED.AMBLNC 	E	*	O	*	AE----	AMBULANCE	
EMS.OPN.EMMED.MEH 	E	*	O	*	AF----	MEDICAL EVACUATION HELICOPTER	
EMS.OPN.EMMED.HDF 	E	*	O	*	AG----	HEALTH DEPARTMENT FACILITY	
EMS.OPN.EMMED.HSP 	S	*	G	*	IXH---	HOSPITAL	
EMS.OPN.EMMED.HSPSHP 	S	*	S	*	NM----	HOSPITAL SHIP	
EMS.OPN.EMMED.MFOP 	E	*	O	*	AJ----	MEDICAL FACILITIES OUT PATIENT	
EMS.OPN.EMMED.MRG 	E	*	O	*	AK----	MORGUE	
EMS.OPN.EMMED.RX 	E	*	O	*	AL----	PHARMACY	
EMS.OPN.EMMED.TRIAGE 	E	*	O	*	AM----	TRIAGE	
EMS.OPN.EMOPN 	E	*	O	*	B-----	EMERGENCY OPERATION	
EMS.OPN.EMOPN.UNT 	E	*	O	*	BA----	EMERGENCY OPERATION UNIT	
EMS.OPN.EMOPN.EQPT 	E	*	O	*	BB----	EMERGENCY OPERATION EQUIPMENT	
EMS.OPN.EMOPN.INS 	E	*	O	*	BC----	EMERGENCY OPERATION INSTALLATION	
EMS.OPN.EMOPN.ECEP 	E	*	O	*	BD----	EMERGENCY COLLECTION EVACUATION POINT	
EMS.OPN.EMOPN.EICC 	E	*	O	*	BE----	EMERGENCY INCIDENT COMMAND CENTER	
EMS.OPN.EMOPN.EOC 	E	*	O	*	BF----	EMERGENCY OPERATIONS CENTER	
EMS.OPN.EMOPN.EPIC 	E	*	O	*	BG----	EMERGENCY PUBLIC INFORMATION CENTER	
EMS.OPN.EMOPN.EMSHLT 	E	*	O	*	BH----	EMERGENCY SHELTER	
EMS.OPN.EMOPN.ESA 	E	*	O	*	BI----	EMERGENCY STAGING AREA	
