hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.UNT.CS.MILINT.JINTCT 	S	*	G	*	UUMJ--	JOINT INTELLIGENCE CENTER	
GRDTRK.UNT.CS.LAWENU 	S	*	G	*	UUL---	LAW ENFORCEMENT UNIT	
GRDTRK.UNT.CS.LAWENU.SHRPAT 	S	*	G	*	UULS--	SHORE PATROL	
GRDTRK.UNT.CS.LAWENU.MILP 	S	*	G	*	UULM--	MILITARY POLICE	
GRDTRK.UNT.CS.LAWENU.CLE 	S	*	G	*	UULC--	CIVILIAN LAW ENFORCEMENT	
GRDTRK.UNT.CS.LAWENU.SECPOL 	S	*	G	*	UULF--	SECURITY POLICE (AIR)	
GRDTRK.UNT.CS.LAWENU.CID 	S	*	G	*	UULD--	CENTRAL INTELLIGENCE DIVISION (CID)	
GRDTRK.UNT.CS.SIGUNT 	S	*	G	*	UUS---	SIGNAL UNIT	
GRDTRK.UNT.CS.SIGUNT.ARA 	S	*	G	*	UUSA--	AREA	
GRDTRK.UNT.CS.SIGUNT.COMCP 	S	*	G	*	UUSC--	COMMUNICATION CONFIGURED PACKAGE	
GRDTRK.UNT.CS.SIGUNT.COMCP.LCCP 	S	*	G	*	UUSCL-	LARGE COMMUNICATION CONFIGURED PACKAGE (LCCP)	
GRDTRK.UNT.CS.SIGUNT.CMDOPN 	S	*	G	*	UUSO--	COMMAND OPERATIONS	
GRDTRK.UNT.CS.SIGUNT.FWDCOM 	S	*	G	*	UUSF--	FORWARD COMMUNICATIONS	
GRDTRK.UNT.CS.SIGUNT.MSE 	S	*	G	*	UUSM--	MULTIPLE SUBSCRIBER ELEMENT	
GRDTRK.UNT.CS.SIGUNT.MSE.SEN 	S	*	G	*	UUSMS-	SMALL EXTENSION NODE	
GRDTRK.UNT.CS.SIGUNT.MSE.LEN 	S	*	G	*	UUSML-	LARGE EXTENSION NODE	
GRDTRK.UNT.CS.SIGUNT.MSE.NODCTR 	S	*	G	*	UUSMN-	NODE CENTER	
